"Carimbo de data/hora","Em uma escala de 1 a 5, onde 1 é ""nada relevante"" e 5 é ""extremamente relevante"", quão relevante você considera o PPE na inserção de jovens no mundo do trabalho na Bahia?","Qual sua principal atribuição como Ponto Focal do PPE? ","Em uma escala de 1 a 5, onde 1 é ""nada desafiador e 5 é ""extremamente desafiador"", avalie o nível geral de desafio do seu papel como ponto focal","Em sua experiência, quais são os 3 principais desafios que você enfrenta como Ponto Focal?","E quais são as 3 principais facilidades ou melhores aspectos do seu papel como Ponto Focal?","Em uma escala de 1 a 5, onde 1 é ""Muito insatisfatório"" e 5 é ""Muito satisfatório"", avalie o processo de acolhimento dos beneficiários/trabalhadores educandos do PPE? jovens no seu orgão/instituição","O seu órgão possui protocolos ou diretrizes padronizadas para o acolhimento de novos beneficiários/trabalhadores educandos do PPE?","Em que medida você acredita que o processo de acolhimento contribui para a integração dos jovens na equipe de trabalho?","De que forma o jovem é geralmente inserido na cultura organizacional do seu orgão?","Em uma escala de 1 a 5, onde 1 é ""muito insatisfatório"" e 5 é ""muito satisfatório"", avalie a clareza e frequência da comunicação entre a entidade parceira do PPE, FLEM ou FESFSUS com você como Ponto Focal.","Quais canais de comunicação são mais frequentemente utilizados para contato entre você e a entidade parceira do PPE, FLEM ou FESFSUS","Com que frequência você acompanha o desempenho das atividades dos beneficiários/trabalhadores educandos em sua unidade? das atividades e do desempenho dos jovens em sua unidade?","Em uma escala de 1 a 5, onde 1 é ""nada desafiador"" e 5 é ""extremamente desafiador"", quão desafiador é obter informações sobre o desempenho e a permanência dos beneficiários/trabalhadores educandos no local de trabalho?","Os beneficiários/trabalhadores educandos do PPE são, em geral, proativos em suas atividades","A imaturidade dos beneficiários/trabalhadores educandos é um desafio para o acompanhamento pelo ponto focal","A maioria dos beneficiários/trabalhadores educandos do PPE tem clareza sobre seus objetivos profissionais","Os jovens beneficiários/trabalhadores educandos do PPE se adaptam bem à cultura do serviço público","Os beneficiários/trabalhadores educandos tem boa relação com os demais trabalhadores","Quais são suas principais sugestões para aprimorar o PPE, especialmente nas áreas de acolhimento, articulação, comunicação e acompanhamento?","Você identifica alguma ""inconformidade"" ou aspecto do PPE que precise de atenção urgente ou mudança estrutural? Se sim, por favor, descreva"
"2025/09/19 12:28:29 PM GMT-3","5","Acolhimento e integração dos jovens","4","Disponibilidade de tempo, variedade das questões existentes, compatibilização dos interesses entre os educandos e a Unidade","Parceria com nossas lideranças no desenvolvimento do Projeto, apoio da FESF, interesse dos educandos em se desenvolverem.","5","Sim","Contribui significativamente","Apresentação formal à equipe","4","Whatsapp","Na medida que surgem situações para a situação","2","4","3","3","4","4","Precisamos criar um entendimento sobre o mercado de trabalho, pois a maioria dos educandos não identificam as normas e protocolos hierarquicos de forma clara.","O caminho é este que estamos seguindo, acompanhando o desenvolvimento , tanto no aspecto profissional quanto no comportamental e investindo mais em treinamento."
"2025/09/19 2:25:43 PM GMT-3","5","Acolhimento e integração dos jovens","3","Quando não temos a monitora presente na unidade; fluxo de comunicação com a FESF; interação com as atividades de capacitação realizadas pela FESF","Comunicação com a monitora; rapidez nas respostas às solicitações; interação com os trabalhadores educandos.","4","Não","É fundamental","Participação em eventos de integração","4","E-mail","conforme demanda","2","5","2","4","5","5","Reuniões regulares entre as instituições com articulação das atividades propostas","Acredito que as unidades maiores devam contar com uma monitoria exclusiva. A mudança para atenção à várias unidades dificulta o acompanhamento e desenvolvimento das atividades."
"2025/09/20 10:04:54 AM GMT-3","5","Acolhimento e integração dos jovens","2","Integrar os educando as normas da instituição, passar o conhecimento teórico e práticos necessários para o desenvolvimento das atividades serem desempenhadas, manejar conflitos entre as indisciplinas.","Guiar o educando quanto ao esclarecimento de dúvidas no seu processo de aprendizagem, Monitorar e avaliar o seu desempenho , Promover um espaço de aprendizagem e aproveitamento quanto instituição e PPE.","5","Sim","Contribui significativamente","Acompanhamento por um profissional/colega ou servidor mais experiente","4","Whatsapp","Diariamente","4","5","3","5","4","4","O programa PPE desenvolve um papel muito importante de aprendizagem e aproveitamento dentro das instituições para que possamos formar profissionais capacitados, e isso requer incentivo  na ampliação no numero de vagas dentro da nossa instituição.","Não "
"2025/09/22 12:06:16 PM GMT-3","5","Acolhimento e integração dos jovens","5","Rcp, PCR, paciente em estados graves de entubação ","Avp, cuidados aos pacientes ","5","Sim","É fundamental","Acompanhamento por um profissional/colega ou servidor mais experiente","5","Whatsapp","Quinzenalmente","5","5","3","1","5","4","Reunião frequentes, alguns treinamento para área hospitalar Técnico","Não "
"2025/09/22 12:34:28 PM GMT-3","4","Acompanhamento do desempenho e frequência dos jovens","4","Nível de conhecimento, pode deixar resolutividade ","Boa aceitação ","4","Sim","É fundamental","Acompanhamento por um profissional/colega ou servidor mais experiente","3","Whatsapp","Mensalmente","3","4","3","2","4","4","Vistorias","Falta de preparo técnico "
"2025/09/22 1:04:50 PM GMT-3","5","Orientação e supervisão direta das atividades dos jovens","3",".",".","5","Sim","Contribui significativamente","Acompanhamento por um profissional/colega ou servidor mais experiente","3","E-mail","Mensalmente","2","5","4","3","5","5",".","."
"2025/09/22 1:06:27 PM GMT-3","5","Orientação e supervisão direta das atividades dos jovens","5","Garantir um ambiente propenso para o desenvolvimentos dos jovens, direcionar os jovens no sentido de proporcionar um aprendizado eficaz e avaliar o aprendizado desenvolvido por cada jovem.","Acolhimento, experiência na área a qual supervisiono e comunicação efetiva.","5","Sim","É fundamental","Acompanhamento por um profissional/colega ou servidor mais experiente","3","Whatsapp","Diariamente","3","5","4","4","4","4","Os jovens do PPE deveriam desenvolver projetos de melhorias no ponto focal que está inserido. ","Não "
"2025/09/22 1:41:46 PM GMT-3","5","Orientação e supervisão direta das atividades dos jovens","5","pontualidade, compromisso,  responsabilidade.","Dedicação, orientação. Amor ao próximo ","5","Sim","Contribui significativamente","Participação em eventos de integração","5","Whatsapp","Diariamente","5","5","5","5","5","5","Atenção e entender o lado do outro ","Nao"
"2025/09/22 2:15:09 PM GMT-3","5","Acompanhamento do desempenho e frequência dos jovens","4","Horário
Focar 
Distância ","Exercer o trabalho 
Encorajamento 
Horário ","4","Sim","Contribui significativamente","Acesso a materiais institucionais (manuais, guias, outros)","4","Whatsapp","Diariamente","4","4","4","4","4","4","Ter mais ppe ","Não "
"2025/09/22 2:21:43 PM GMT-3","4","Orientação e supervisão direta das atividades dos jovens","4","Demandar tarefas condizentes com o nível de conhecimento;
Fazer a programação semanal;
Planejar tarefas  de alta performance b","Disponibilidade 
Comunicação  efetiva 
Dedicação com foco na resolução das demandas
","5","Sim","É fundamental","Apresentação formal à equipe","5","Whatsapp","Mensalmente","3","5","3","3","4","5","Aproveitamento deles no término desse processo. 
Realizaçao de projetos na área de atuação do referido aluno.","Não."
"2025/09/23 9:36:06 AM GMT-3","5","Acolhimento e integração dos jovens","5","Orientação, qualificação do profissional, e o que ele vai se tornar ","Convivência com os jovem, aprendo e ensino , passagem de experiências ","5","Sim","É fundamental","Acompanhamento por um profissional/colega ou servidor mais experiente","5","Whatsapp","Diariamente","3","5","3","5","5","5","Acredito que na parte de apresentação dos setores e colegas ","Não "
"2025/09/23 10:00:30 AM GMT-3","4","Acolhimento e integração dos jovens","4","A ausência  do concurso público,  para o apoio ap PPE;
Tempo maior de duração  para 3anos;
Jequié voltar  a ser Núcleo  de saúde. ","Acolhimento;
Solidariedade ;
Compromisso  com a gestão  pública.","5","Talvez","É fundamental","Acompanhamento por um profissional/colega ou servidor mais experiente","4","Reuniões presenciais","Semanalmente","4","3","4","4","4","4","Ter encontro quinzenais, diálogos e atualizacoes pernamanente.","A deficiencia  do concurso público, existencia  da terceirização  e precarização. "
"2025/09/23 10:04:02 AM GMT-3","5","Articulação entre gestão central do PPE e o orgão","4","Falta de ética profissional dos tècnicos, pedido de movimentação por motivos pessoais, falta de pessoal para acompanhar as demandas diárias do Programa","acompanhar o aprendizado dos beneficiários, poder ajudar na lotação nas Unidades demandantes","3","Não","Contribui significativamente","Acesso a materiais institucionais (manuais, guias, outros)","4","E-mail","Diariamente","1","4","2","4","4","4","esclarecimneto sobre o rela mundo do trabalho formal para os beneficiarios","clareza sobre o papel dos tecnicos no trabalho"
"2025/09/23 12:32:33 PM GMT-3","5","Acompanhamento do desempenho e frequência dos jovens","5","Avaliar bem, acompalhar a frequencia.","Nada a declarar","5","Sim","É fundamental","Apresentação formal à equipe","5","E-mail","Semanalmente","2","5","3","5","5","5","Sem sujestoes no momento","Não"
"2025/09/23 1:25:10 PM GMT-3","5","Acompanhamento das frequências e assinatura das mesmas","3","Lidar com a imaturidade de alguns","Fica muito fácil quando os jovens inseridos vem com perfil para a função","5","Não","Contribui significativamente","Acompanhamento por um profissional/colega ou servidor mais experiente","3","Whatsapp","Quando existe necessidade","3","3","3","3","3","4","Que existisse um projeto específico com foco na integração entre eles e nas relações interpessoais no trabalho.","Acho que deveria ter um monitoramento específico que orientasse sobre relações interpessoais."
"2025/09/23 3:22:15 PM GMT-3","5","Acompanhamento do desempenho e frequência dos jovens","4","Baixa qualificação educacional dos jovens;falta de oportunidades locais;Dificuldade de articulação entre instituições","1 Impacto social direto e transformador; 2 O papel permite construir pontes entre diferentes atores: empresas, escolas, ONGs, órgãos públicos e programas como Jovem Aprendiz e Primeiro Emprego.3 Proximidade com a realidade dos jovens","4","Sim","Contribui significativamente","Acompanhamento por um profissional/colega ou servidor mais experiente","4","Whatsapp","Mensalmente","4","5","5","3","4","4","1 Mentoria entre pares: jovens que já passaram pelo programa podem atuar como tutores dos recém-ingressos, promovendo acolhimento horizontal.; 
2 Fortalecer parcerias com o setor privado: ampliar o leque de empresas participantes, inclusive em áreas como tecnologia, agroindústria e economia criativa.
 3 Campanhas digitais segmentadas: usar redes sociais com linguagem jovem para divulgar o programa, histórias de sucesso e oportunidades.","Inconformidade, não! Apenas sugestões de melhoria"
"2025/09/23 4:08:06 PM GMT-3","5","Orientação e supervisão direta das atividades dos jovens","4","Adequação do perfil do jovem à atividade que irá desenvolver; manter o envolvimento e interesse do jovem ao seu trabalho; fazê-lo lidar com a idéiade que, apesar de trabalhador, é um educando.","Assertividade na distribuição dos jovens nos setores; Dar bom acolhimento e acompanhamento; assegurá-los de uma boa convivência com demais colaboradores.","5","Sim","É fundamental","Acompanhamento por um profissional/colega ou servidor mais experiente","5","Whatsapp","Diariamente","5","5","1","4","4","4","Realização periódica de reuniões envolvendo os atores do processo. Gestão, Supervisão e TE's","O período de trabalho é curto (dois anos), o que corta uma boa continuidade do trabalho."
"2025/09/23 4:10:50 PM GMT-3","2","acolhimento","2","nenhuma","nenhuma","2","Talvez","Contribui em alguma medida","as vezes","3","Whatsapp","quando necessario","2","3","2","3","3","3","Que a FESF coloque em cada unidade um funcionário (servidor) da FESF para resolver as situações da FESF, considero essa demanda imprescindível ","A falta de um servidor da FESF na unidade, isso faz com que pessoas que não tem nada a ver com a fesf trabalhar para a fesf sem vinculo empregatício. Não concordo com essa politica da FESF. "
"2025/09/23 4:24:41 PM GMT-3","4","Acolhimento e integração dos jovens, encaminhamento de folhas de ponto e demais demandas necessárias.","4","Tempo, espaço e a necessidade de maior entendimento do papel do ponto focal","Comunicação com os profissionais, facilidade de comunicação com o responsável técnico e com a gestão local","4","Sim","É fundamental","Apresentação formal à equipe","4","E-mail","Mensalmente","4","5","4","4","4","4","Um aviso prévio das novas admissões para assim preparar a melhor forma de receber os novos profissionais.","Não."
"2025/09/23 4:33:37 PM GMT-3","5","Orientação e supervisão direta das atividades dos jovens","5","Orientar, 
Coordenar
Ensinar","Aceitar, 
Participar,
Compreender","5","Sim","É fundamental","Acompanhamento por um profissional/colega ou servidor mais experiente","5","Whatsapp","Diariamente","5","5","1","5","5","5","Entender a jornada contratual","Não "
"2025/09/24 12:02:00 PM GMT-3","5","Acompanhamento do desempenho e frequência dos jovens","4","A disponibilidade da vaga, interesse nas áreas de serviço e  compromisso de jovens do PPE","dedicação na orientação nos setores, estimular ao empenho no conhecimento e nas atividades vislumbrando a formação um grande profissional  ","4","Sim","É fundamental","todas as formas acima citados","4","todas as ferramentas acima citados","Mensalmente","4","3","2","3","3","3","Acompanhamento em períodos mais próximo dos orientandos, estimulando ao desempenho nas áreas","Falta de disponibilidade de jovens do PPE"
"2025/09/24 3:10:32 PM GMT-3","5","Acolhimento e integração dos jovens","5","1-Levar coordenadores diretos para nível de entendimento a respeito do Progama.
2-Buscar manter o PPE SEM DESVIO DE FUNÇÃO.
3-Mediar Conflitos","Acesso direto ao PPE
Facilidade de comunicação com o PPE
Parceria direta com a equipe da FESF_SUS","4","Não","É fundamental","Acompanhamento por um profissional/colega ou servidor mais experiente","4","Telefone celular","Diariamente","5","5","1","4","5","5","o Ponto Focal Deve ser Alguem que possua autonomia junto com a gestão,  e nao ser ingnorado e ser respossabilizado quando ha intercorrências.","Esclarecimento ativo diretaMENTE A gESTÃO FORA FORA DA UNIDADE. O ESPAÇO DEIXA-O EN ZONA DE  CONFORTO."
"2025/09/25 9:41:10 AM GMT-3","5","Orientação e supervisão direta das atividades dos jovens","5","Manter o foco no objetivo principal; tempo para acompanhamento e demonstrar proatividade.","Facilitar a adaptação; orientar o profissional sobre o que é esperado na Unidade e   retorno dos ensinamentos passados.","4","Sim","É fundamental","Acompanhamento por um profissional/colega ou servidor mais experiente","4","E-mail","Quinzenalmente","2","3","3","3","4","4","Fomentar o fortalecimento dos vínculos familiares e comunitários, e o acesso à saúde, educação, trabalho e lazer. ","Não"
